run_date,row_index,source_asset_id,photo_url,suggested_pot_id,suggested_varietal_id,confirmed_pot_id,confirmed_varietal_id,reviewed,notes,last_edited_at,imported_at_utc,source_file
2026-02-27,27,AF1QipNkNoPwuiEal7zLlF1luNvKjGdOMuwLzCIZ1XYC,https://lh3.googleusercontent.com/pw/AP1GczMspnDV4yy6NgNlxgybeEO1gNnv5SvZ2YwRQhAQtnzq-ypeUErNXJLVb9s3JXaBBrv_cEPeLH2o_BhgYx3culTiJ0u5eaoEgZ_TMeZWDujH1pXblORm,1T,7,1T,5,1,,2026-03-13T01:28:05.280Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,28,AF1QipM8_VNjFYM6p6XZxnmZbDEe2Jta-agf8uMv3HRX,https://lh3.googleusercontent.com/pw/AP1GczMqxFz88jhevGGborYJjQn9TO37YSA1Yn_J6HhEnA7NfJnqdmp4HbyOINvkrwhVJBC8fQzPOxKa3EPgEBRx_n1wIr965ExCbBvtInDrH6ZcM3IH4src,2T,4,2T,5,1,,2026-03-13T01:28:11.484Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,29,AF1QipPs5VaxkM25iMl5SmV5FGCnaaoIuO2T0AlKaJDc,https://lh3.googleusercontent.com/pw/AP1GczPj0LcfwL6u4FKikzzERHKEe2r4Aeemp8WSIukvKcEf77d7hhQBdT0VP-v1hjS0lfh6aCaTSRYBeAhc2N3PyXOtMzyI70LJCqjK3VPZZFtkNvZGYiz3,3T,7,3T,1,1,,2026-03-13T01:28:17.010Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,30,AF1QipMxykxrPSUc6w0Sfi5syejDGOKOoZpIr4sDFLm2,https://lh3.googleusercontent.com/pw/AP1GczPDMVWYjdcJEfLfSyLldRqqFEgaOiY2ANB8hldouIAqy_J-08omhsCvbq-b6Z-f2UD1--DRwai0f-szHUGpg2cstd6r9hNxgkscxEHrxjWsk-nZo2On,4T,1,4T,1,1,,2026-03-13T01:28:20.035Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,31,AF1QipMuRYdh97xeszs34rqMRR0sncEgNU-1RSBC0iz8,https://lh3.googleusercontent.com/pw/AP1GczNO50WfF518Cy03IelfloUktfgNH7c_lk_FHQpPhq3k6-gEccPSkxFJq7AYO5DeiRVHDetXn4CCyppiyDNxQqt1nsn6fQJIpEZxR00BIV2MXusD8Vf_,5T,1,5T,1,1,,2026-03-13T01:28:21.909Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,32,AF1QipOh2iMlMQ7BT_GI2stqUxDG0ASkO8q7N_Gzp1mw,https://lh3.googleusercontent.com/pw/AP1GczNexmoMldYiO-5ZxWlBQbDqpzm-TOlMjIVYfehr9l4uNw_6RHB4TeszoGreTKYDV90_Plfn4MWhxVnahcR0U82-9_r5NlrYLO2hTxKzRPeYP69bG0B_,6T,1,6T,1,1,,2026-03-13T01:28:23.126Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,33,AF1QipMOrNyIbBFmWPB1l0MKNFxFAkvt1kqdtsz1vNRj,https://lh3.googleusercontent.com/pw/AP1GczNpueT12SXMsMrHdCSbRX0urRlLgcBnz5e70xcf0xpkMmaVQ5379H2GqOJZQDQkkBstFyPqXZTByLJ9N1UI02J5idg0shQnnTJIVEhCOKNmkIWnL67A,7T,9,7T,9,1,,2026-03-13T01:28:25.722Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,34,AF1QipM5jM5GYBXRvXyJF6QM_c1PeZheaz2reTEUt5K-,https://lh3.googleusercontent.com/pw/AP1GczOAnNE-AntYNp3NqwVrSekv-DWmBx4X8517cw0BX4oxkAfFpENyfu9-Z25fqKrgZibBCFnhtktescugXwsLIhRJus1xEePli-zSRQBMxVtuBObZRY_Z,8T,3,8T,3,1,,2026-03-13T01:28:28.067Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,35,AF1QipNu1M2E0AEQYK7hFn3pmzbxiIGeSq5J5Dotovbe,https://lh3.googleusercontent.com/pw/AP1GczNxvEUUByth3inm218o3N36rOfEqO8mtAy2HE1nIHSpOo5heE4FTj8KG6NfFMnaWOpKQaBUSm3n-1PpFLwgqidfKsE1AzD---Q5dSGENejr-mtoXwQ-,9T,3,9T,3,1,,2026-03-13T01:28:30.287Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
2026-02-27,36,AF1QipPQ3ZWzolhWl3_1pB8e_6oGzGgs5Zr27sPloFFL,https://lh3.googleusercontent.com/pw/AP1GczNf_XOSQLU-S56-YXdNNKgl3cMQ89E8uBh-VA-pO5FSTp-DWWRCgAi03XaCQqwOn8I4vDevbPG-p0lf2iDd8yaGuRYBqEF8CFcWMvA5t9Ama2fqL3dZ,10T,3,10T,3,1,,2026-03-13T01:28:32.476Z,2026-03-13T01:38:59.986538+00:00,/Users/praneet/Downloads/manual_two_run_tags_2026-03-13T01-35-14.861Z.csv
