photo_url,caption,capture_date,captured_at,uploaded_at,timezone,latitude,longitude,device_model,notes,source_asset_id,source_platform,species_common_name,variety_name,species_scientific_name,specific_note,weather_hypothesis,expected_harvest_window,classification_label,confidence,labeling_method,ocr_excerpt
https://lh3.googleusercontent.com/pw/AP1GczMFMLOe7oiwjfy2VzLYUh5tJOWEA7wfObH4QF5kurmaWY69z7ktRZ8VveosEOtK6LaPOAEKKRUFcBYQdbOE3GTkmdqEVNG7VFBiAV9MEzmTnmaLW5qh,Oakleaf Lettuce (Rouxai MTO) | non_tomato_01 | verified,2026-02-25,2026-02-25T15:03:49.626000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: ee f se aE x elie anced bas: ny ee Soe ee oS! ee -e am a ee | ® f-a SSS ay Cea, oe ey e EN oe es bee - aie - Va Re hae Ee ae Ce Ee — eae Se, tS a ae a e. ou ae . SS es ie Pe aS os Bey oak. re ee Ree a",AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,google_photos,Lettuce,,Lactuca sativa,,,,non_tomato,0.99,manual_packet_label,"ee f se aE x elie anced bas: ny ee Soe ee oS! ee -e am a ee | ® f-a SSS ay Cea, oe ey e EN oe es bee - aie - Va Re hae Ee ae Ce Ee — eae Se, tS a ae a e. ou ae . SS es ie Pe aS os Bey oak. re ee Ree aa Sates = ee 8 io ‘ees aS ew ph ee mo Bes = PS SS 3 es. Se val gs ‘eo nee ee ae eb i = hee ""ee Gy = ee as 4 S./=s Biss pate. mm = ri <. so Fa ae a Be SOU fe ae ad ae Beat i. ee See S tt Ne a ee ay oa SS a — os Se =~ <Sfen oe se hae 1 nb Lye? page car oy A ee, eg ian 4 é . es = eS eo ee ee pee ee cch"
https://lh3.googleusercontent.com/pw/AP1GczM_-onCa0Wcrfjf20N-VnH8urwQNIOfacr9iQL4-MUob6XBcv-bqhaIqNgfqqi0cMsyqLXpJFjjpUXXDp5kpgX60CIQoQ_y3ViaGgzmENYin3PWAMgM,Savoyed Spinach (Tundra F1 OG) | non_tomato_02 | verified,2026-02-25,2026-02-25T15:04:31.921000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: _— a 2 ewe Fe eS adted , * ive by ~ OPA aaa - a wy . “ E % mS 7, e- ai: Whey A is ~ “gy ZA i ¢ ‘ Fess owe 2 Py a a St He es 2a fe igre ea a , P 5 Rag he on a. £. bd Jd Bd Fi 4 sf . , a x - = * a 1 Sis",AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,google_photos,Spinach,,Spinacia oleracea,,,,non_tomato,0.99,manual_packet_label,"_— a 2 ewe Fe eS adted , * ive by ~ OPA aaa - a wy . “ E % mS 7, e- ai: Whey A is ~ “gy ZA i ¢ ‘ Fess owe 2 Py a a St He es 2a fe igre ea a , P 5 Rag he on a. £. bd Jd Bd Fi 4 sf . , a x - = * a 1 Sis"") PESO? SES x ifs pas o4 . BEE ty gis. C2 a eh Pee eae Bis cae , oo x | ROSS FeSO SERRE fe 7 Sie .. oo « ~ igen pe ee = mS f a Ne ¥ elie gests ae fy Mea ee Mee OF , aa ] 6 NE Sate less 7 OE Set BSE > % “a J ae 4 ¢ 7 ag grees woh RS & ne t 3 See eS ae wee “ES 4c ony ee ie : Me fe he eG ee ae EB Se e"
https://lh3.googleusercontent.com/pw/AP1GczM3sgJLOFfLxtTTQ-7yhO2hi0NJzMObA-mPgxRs3ToIaCFJlCq5NuYk8xxOLXvpBKBSjaoD0qkMRH8CRLHkH2A6PpPKLgrgOhfkO3_juwlrhXXiUmqh,Bloomsdale Spinach | non_tomato_03 | verified,2026-02-25,2026-02-25T15:04:52.014000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet handwriting + tray evidence (F).; OCR: 7 } ‘ . a ‘= Mis ~S ‘ sone s < A —————— | —7 het 7) “s a | & te 4 ata § ( = oo be ' | de < ‘oo 1 ; 1 > 6 me. 3 ; j A e ji LA eS . > -¥ ve . ’ ™ i . or 3 — ‘ . ox ; a ’, “* « ‘ > Be MM ANA y) done in ,",AF1QipMhYY3ADKACHG7cdnyQKr5EB6ubpjjpWykvU06O,google_photos,Spinach,,Spinacia oleracea,,,,non_tomato,0.92,manual_packet_label,"7 } ‘ . a ‘= Mis ~S ‘ sone s < A —————— | —7 het 7) “s a | & te 4 ata § ( = oo be ' | de < ‘oo 1 ; 1 > 6 me. 3 ; j A e ji LA eS . > -¥ ve . ’ ™ i . or 3 — ‘ . ox ; a ’, “* « ‘ > Be MM ANA y) done in , o ‘ Y a ” j . i : ais we ~ e | : * e 7) J -. . : Ss ‘: ’ 8 ry k "" bcd r ° e » ; he. > J } ° » ) « i : i‘ jee , +a | WAY és . * / wea Fe of e © { ae N ee = EE OE NR pi, ° . oe -— ee , 4 } PM et 9 2 4 \ - st ots t ER ; « ; | i ee ee '? “. re i 2k ee sf ee > . 4 r P - 4 y + A a a A ee pas > * . ] e : "
https://lh3.googleusercontent.com/pw/AP1GczNWU1KGbKd-lxw1pHAMPVOEykVSffgvIk4YOkduAozkzL32eWu9h8BTlhLbFOuiCZwfoie-CwGscaPrE79DDWJfKeiskVX-byjP_zXyGKrPbSSj-dlW,Bloomsdale Spinach | non_tomato_04 | inferred,2026-02-25,2026-02-25T15:05:07.484000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Inferred from repeated F tags adjacent to verified Bloomsdale packet.; OCR: 2 oe ea Teal eee es : : % be iy we aes . 4 ss sail gi Eee m pe es wo weet 4 on ay ely A va Si eea ¢ Sy 1 2 ie PRIS EE SOPs aia RE a tee | Pensa h SRT yee Se 5 Se. as Saino ‘ ‘ p 1 | . eee eee, N CRAME",AF1QipND0gAwfUQ1xbVpfJqHJ7hJJjb6fhFYSQdo4CWe,google_photos,Spinach,,Spinacia oleracea,,,,non_tomato,0.85,manual_tag_inference,"2 oe ea Teal eee es : : % be iy we aes . 4 ss sail gi Eee m pe es wo weet 4 on ay ely A va Si eea ¢ Sy 1 2 ie PRIS EE SOPs aia RE a tee | Pensa h SRT yee Se 5 Se. as Saino ‘ ‘ p 1 | . eee eee, N CRAMER i eee A ars 4 5 an SPU ETRE rte nt See Cee ND” Oe etre: Noh se Pree, NUNS m ae. oda SCR RE TSE a ea 2 eae ES Tis Be Se cs ole. te TRS Boke . ‘ 4 q TM Se ¢ ¥ p OE a age Tj? PREY: a # 8 a SS “ih af SY %: wh He AY 4 } bg te Plo Oe Sok BE OS ON PRE eae A ; an 4 , ) he EIN CMS v vl ris ey * \ es ~y 5 N"
https://lh3.googleusercontent.com/pw/AP1GczOyDG--plQlxn84m_7asZCbRv4RGEUpk_dtgvs97UJog8pa3POFlhom66xsSd0oyrWe_ZqTwp_qvL9PFt5Umbm_SYt5d6sQ222lB5skoSpdjR2SmusU,Smooth Leaf Spinach (Tadorna OG) | non_tomato_05 | verified,2026-02-25,2026-02-25T15:05:23.066000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,Manual packet-label verification from photo.; OCR: = uf G) : — | ' + Ss ere \ eee Sok =f 25 i--| zx ce r me ¥ $ te Puphs ryt O95 2 ¥ §SO a | cag © R) Ten = ial) Bae Cea ati aa se : 2 @O leo | > eo wf I pu pe Cisasem tates ee rr MPN PIGS Leese ae ree M,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,google_photos,Spinach,,Spinacia oleracea,,,,non_tomato,0.99,manual_packet_label,"= uf G) : — | ' + Ss ere \ eee Sok =f 25 i--| zx ce r me ¥ $ te Puphs ryt O95 2 ¥ §SO a | cag © R) Ten = ial) Bae Cea ati aa se : 2 @O leo | > eo wf I pu pe Cisasem tates ee rr MPN PIGS Leese ae ree Mgr sone fn A i ae Oo e €. is S Q ile ake ee ae ee, Si See Mukbe = 4 = [a] 10) 2, =e i Huge Gd ie ey Bt ae mete. | opi he IERIE ei SOT Ee py = : Mae PogmhObate ca’ 2 Gig en le paige aa FRE: os Spd IE ap ay 2 ot Meagher grap aii a ‘eats Im] 5 & 8 a) “ee ee my ee oud eee = S SN |Z ‘ my aah! sh, ae hae,"
https://lh3.googleusercontent.com/pw/AP1GczPBDkxvbJW2i0Aq4-I9nYwMelPN6qKIoaC2FzkmKsTzNIs6TXDn-HUNk8ChAFymNFkCrVoLGBvRU9cex69d6ftAvr4JFulbo4MwfK2P95lY1nmSjpVv,Shelling Pea (Maxigol) | non_tomato_06 | verified,2026-02-25,2026-02-25T15:05:52.191000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: lected “ged ——_— f aployee-ownnes company a : : > So sheild ad Peas : 4 - yaaxicol a : Pisum gat’ Aba ’ \ yor 407022 ia. SER POUND: 1622 ; 65 s ial °3 arm 92%, Test Date: 40/24 al Lot. A407 022 95> Be",AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,google_photos,Pea,,Pisum sativum,,,,non_tomato,0.99,manual_packet_label,"lected “ged ——_— f aployee-ownnes company a : : > So sheild ad Peas : 4 - yaaxicol a : Pisum gat’ Aba ’ \ yor 407022 ia. SER POUND: 1622 ; 65 s ial °3 arm 92%, Test Date: 40/24 al Lot. A407 022 95> Benton pvenve, RVinsiow: Maine 04901 | dj Ber 508 eee © — | sal ej nny’s > hh as of fx ywned CO mpany Re pk nployee- nN eM q S «he Mind NAA AxIGt ¥ 4 107022 Pp Ay\t yh $2 we ‘9 ™ 254 9 SEED t): {oO PER P OUN! 65 2 Test Date 10 nslo’ eds com ue, jo on 64-66"
https://lh3.googleusercontent.com/pw/AP1GczPmpa_ecGly6DmKjzNTVcOwn6CKvzqjG4eDDi41ki8BGSmPg0pCjZz5YURce1l2tD5oK5J757klLG7SAlk_H3nq5FIPheIvH67c8RSnUpJFt4t5rHGo,Collards (Flash F1) | non_tomato_07 | verified,2026-02-25,2026-02-25T15:07:05.402000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: on , @Johnnys 7 An employee-owned company ge : Hybrid Collards FLASH F1, Stee Brassica oleracea 7116.11 LOT 105188 é: MINIMUM 100 SEEDS pF SEEDS PER POUND: 65185 ei a DAYS: 55 ee : 4 \6.11-105188 Ee G",AF1QipMB-jUQ93DXcLOwaHZnlF1J7IK3rz6IW8Dgpv2B,google_photos,Collards,,Brassica oleracea var. viridis,,,,non_tomato,0.99,manual_packet_label,"on , @Johnnys 7 An employee-owned company ge : Hybrid Collards FLASH F1, Stee Brassica oleracea 7116.11 LOT 105188 é: MINIMUM 100 SEEDS pF SEEDS PER POUND: 65185 ei a DAYS: 55 ee : 4 \6.11-105188 Ee Germ: 92%; Test Date: 01/25 a Lot. 1051 88 es | “=~ at Ra Eo Gam, es fe jon Seeds An employ ee-owned company Hybrid Collards FLASH F1, € Brassica oleracea ae Lor 105188 fe ©: 7 7116.11 IMUM 109 SEEDS SEEDS PER PO UND: 65185 DAYS: 55 = Se ae bP ap = 9416.11-105188 Germ: 92%, Test Date: 01/25 a | L ot."
https://lh3.googleusercontent.com/pw/AP1GczPbUzKffSUzNaJgkbWllUKOKGMV5zMlbnMOZ-1-zw0UmSE3d4TUsGxs3PsGN7_V_SQgrW5zEk4SR3fFJ8-5jpkpYdtPmj0Af1CezrqGQwuYxJKzd2ga,Leek (Tadorna OG) | non_tomato_08 | verified,2026-02-25,2026-02-25T15:07:15.144000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: ry “ ex “) ‘ee ‘ . od mee CU ie ae j : ; : . PD ae °°; yin eee x Tie i he eS ow, J Be , Mj q ee : 4 4 St A 7 “rhe: st uM ¥ 4 ce 7 git ehy”. P t SEN fear i] agin Me pene eer I"" pees (EE SCTE ya fy 4",AF1QipM6AUa6pLQQ6rWh54k2_an_Z5J1ijOLl5S1vVYB,google_photos,Leek,,Allium porrum,,,,non_tomato,0.99,manual_packet_label,"ry “ ex “) ‘ee ‘ . od mee CU ie ae j : ; : . PD ae °°; yin eee x Tie i he eS ow, J Be , Mj q ee : 4 4 St A 7 “rhe: st uM ¥ 4 ce 7 git ehy”. P t SEN fear i] agin Me pene eer I"" pees (EE SCTE ya fy 4 ; $ é e . - ‘ ir a8 a es Py : , rc ""\ BN tuts ye ge Oa egy ~ . Wy e ‘ wt vig anger os se i. 3 g ef age 4 ‘ \ s ke At Oe Pep ge | | Dera | cman’ a a -_ An employee-owned company io ai ee ain eee Certified Organic by MOFGA Bee Ro = i a ~ ee TADORNA OG, at ye e. oS Ps is ee NM p b, e i 4 : : & Allium por"
https://lh3.googleusercontent.com/pw/AP1GczNINkznFs3eW_WC8eBcLPZCcBGo2WjQp2R28NUZ7t3qGVGMoE6zBnJ_MWx3lupOSTyEEt64IiZJ45_aGn_8n5dCaeOvn7cQ6170bnz89xQ3wZ5C3Bvh,Kale (White Russian OG) | non_tomato_09 | verified,2026-02-25,2026-02-25T15:07:27.925000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: J)” ae 3 na Ss po I ee alge 7 oe ci, ; : | 7 “Sr G bad k * aC O aS | eee ~. + 9 ey 5 > | ioe A * pay be ae “eX » t © S> a . ig 7 wo \ ee —— © o weSe to BS — MO oe _ 6 i as = >, OQ A a 4g ba avs ie 7:",AF1QipPBKSwU3sjNcQQSkKhJlcDXrMPgsJUsYU4qxJBM,google_photos,Kale,,Brassica napus,,,,non_tomato,0.99,manual_packet_label,"J)” ae 3 na Ss po I ee alge 7 oe ci, ; : | 7 “Sr G bad k * aC O aS | eee ~. + 9 ey 5 > | ioe A * pay be ae “eX » t © S> a . ig 7 wo \ ee —— © o weSe to BS — MO oe _ 6 i as = >, OQ A a 4g ba avs ie 7: \ S ~~ , a % s > be se be a aS = - Se > ‘ = . x ae, ‘] r + ; —— gg bh ‘pe cat gs os 4 Rae wrk | ae ee “> oe oy ee — abe Ps. _ Om -—)~ ty on oe ¥ eye aS ae ae & Zz od a. = Ee y Ww > ge ® Ss wm > FS “2) ORs] S> mngh bet ie} sa R 1) iW * * la ee and lw See ee —— aw * _——— | . « ; Be ¢ P ’ ; en a a eD r"
https://lh3.googleusercontent.com/pw/AP1GczPf7y7iK9rIjFFcXNMalZrKueHECps2QmiEVeHeZp9d9GvtzBusWm-zrteqjhx_Tch5wgyugPzE_45r6nKPcuQ7VqzC4kE0uhqVn1Xe9b0kTh7sf9EB,Red Cabbage (Ruby Perfection F1) | non_tomato_10 | verified,2026-02-25,2026-02-25T15:07:43.173000-08:00,2026-02-25T23:42:07.824000+00:00,-08:00,,,,"Manual packet-label verification from photo.; OCR: a ER o San ao S S ; an el ) Jae ee eae sterner mY ‘ SS Se ¥ Bae . ee } ; SSS ares 2 me Se ) im. a : SS Coe a O 2 ae - SS . & bd 4 Ss Soe, 4 ES qlee s 8 7 & 7 SSS Cee = mB aft ms AE) ee ee a SS CS za a",AF1QipOjuN57XrR72JGpYJD-MNFmDIU5mMfTXiSqesvx,google_photos,Red Cabbage,,Brassica oleracea var. capitata,,,,non_tomato,0.99,manual_packet_label,"a ER o San ao S S ; an el ) Jae ee eae sterner mY ‘ SS Se ¥ Bae . ee } ; SSS ares 2 me Se ) im. a : SS Coe a O 2 ae - SS . & bd 4 Ss Soe, 4 ES qlee s 8 7 & 7 SSS Cee = mB aft ms AE) ee ee a SS CS za ao rie eG. st gs ——— oe eae = a) = ao) e » &Y ee : : PS Ny Se Ne) 5 Sp i & QQ es / Boe é> 4 i fo) S| Pa #. eee ee Zee _ pee P | iN N gS Xie a = SS vad “OR ——_ —— eee = an — —_— Ss ET a Soe WE TSE SS : ~ We af it S< ~ we ~ «*s SS G) ‘t ve) rw neh ~~ = — jc] es Ss SS Rv -. © ~~ SS ; ga i) SS 3 xe) SSS "
